Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.15622E-3,24.699283711,0.247041149,0.094882729,0.142857143,0
2.2279E-3,24.922073905,0.25317439,0.093816631,0.142857143,0
2.24837E-3,25.146910854,0.254907396,0.092750533,0.142857143,0
2.2926E-3,25.376170974,0.258625198,0.091684435,0.142857143,0
2.3201E-3,25.608180656,0.260917642,0.090618337,0.142857143,0
2.32134E-3,25.840315088,0.261021315,0.089552239,0.142857143,0
2.33068E-3,26.073383033,0.261796193,0.088486141,0.142857143,0
2.34342E-3,26.307724757,0.262850896,0.087420043,0.142857143,0
2.41687E-3,26.549411651,0.268874462,0.086353945,0.142857143,0
2.43979E-3,26.793390744,0.270734127,0.085287846,0.142857143,0
2.4585E-3,27.039240647,0.272244921,0.084221748,0.142857143,0
2.59874E-3,27.29911508,0.283374288,0.08315565,0.142857143,0
2.61681E-3,27.560796333,0.284783411,0.082089552,0.142857143,0
2.63494E-3,27.824290339,0.286191606,0.081023454,0.142857143,0
2.74725E-3,28.099015315,0.294794001,0.079957356,0.142857143,0
2.75133E-3,28.374148051,0.295102427,0.078891258,0.142857143,0
2.75451E-3,28.649599345,0.295343194,0.07782516,0.142857143,0
2.96052E-3,28.945651206,0.310571465,0.076759062,0.142857143,0
3.10079E-3,29.255730272,0.320569393,0.075692964,0.142857143,0
3.11745E-3,29.567475535,0.321737744,0.074626866,0.142857143,0
3.122E-3,29.87967601,0.322056245,0.073560768,0.142857143,0
3.1319E-3,30.192866138,0.322747648,0.07249467,0.142857143,0
3.14519E-3,30.507385198,0.323673868,0.071428571,0.142857143,0
3.16127E-3,30.823511828,0.324790907,0.070362473,0.142857143,0
3.16395E-3,31.139906807,0.324977014,0.069296375,0.142857143,0
3.19285E-3,31.459191487,0.326974609,0.068230277,0.142857143,0
3.21579E-3,31.780770433,0.328552191,0.067164179,0.142857143,0
3.23257E-3,32.104027014,0.329701093,0.066098081,0.142857143,0
3.38949E-3,32.442976172,0.340260506,0.065031983,0.142857143,0
3.50598E-3,32.793574453,0.347886446,0.063965885,0.142857143,0
3.57649E-3,33.151223852,0.35241731,0.062899787,0.142857143,0
3.59993E-3,33.51121697,0.353909412,0.061833689,0.142857143,0
3.7137E-3,33.882586958,0.361055752,0.060767591,0.142857143,0
3.73529E-3,34.25611554,0.36239386,0.059701493,0.142857143,0
3.87501E-3,34.643616695,0.37092168,0.058635394,0.142857143,0
3.87502E-3,35.031119032,0.370922393,0.057569296,0.142857143,0
4.0149E-3,35.432609256,0.379234071,0.056503198,0.142857143,0
4.07125E-3,35.83973394,0.382520371,0.0554371,0.142857143,0
4.12119E-3,36.25185282,0.385404285,0.054371002,0.142857143,0
4.41682E-3,36.693534423,0.401938527,0.053304904,0.142857143,0
4.58186E-3,37.151720427,0.410788086,0.052238806,0.142857143,0
4.76603E-3,37.62832316,0.420358873,0.051172708,0.142857143,0
4.95178E-3,38.123500833,0.429702016,0.05010661,0.142857143,0
5.12238E-3,38.63573928,0.438022035,0.049040512,0.142857143,0
5.13253E-3,39.14899218,0.438509113,0.047974414,0.214285714,0
5.36368E-3,39.685360255,0.449383226,0.046908316,0.214285714,0
5.4102E-3,40.226380118,0.451520863,0.045842217,0.214285714,0
5.45489E-3,40.771869239,0.453559047,0.044776119,0.214285714,0
5.47245E-3,41.319114727,0.454355889,0.043710021,0.214285714,0
5.50565E-3,41.869679305,0.455855392,0.042643923,0.214285714,0
5.83998E-3,42.45367692,0.470512569,0.041577825,0.214285714,0
6.23093E-3,43.076769807,0.486681139,0.040511727,0.214285714,0
6.26265E-3,43.703034969,0.487949885,0.039445629,0.285714286,0
6.27212E-3,44.330246579,0.488327202,0.038379531,0.285714286,0
6.60159E-3,44.990405971,0.501124412,0.037313433,0.285714286,0
6.85068E-3,45.675474134,0.510382179,0.036247335,0.285714286,0
6.85621E-3,46.361095047,0.510583722,0.035181237,0.285714286,0
6.92847E-3,47.053941703,0.513203191,0.034115139,0.285714286,0
6.95307E-3,47.749248747,0.51408874,0.033049041,0.285714286,0
7.30805E-3,48.480054,0.52651594,0.031982942,0.285714286,0
7.40551E-3,49.220605236,0.52981737,0.030916844,0.357142857,0
7.41942E-3,49.962547034,0.53028467,0.029850746,0.357142857,0
7.54203E-3,50.716750082,0.534365227,0.028784648,0.357142857,0
7.56753E-3,51.473502755,0.535204856,0.02771855,0.357142857,0
8.11553E-3,52.28505593,0.552546818,0.026652452,0.428571429,0
8.77501E-3,53.162556874,0.571774407,0.025586354,0.428571429,0
9.62711E-3,54.125267462,0.594299736,0.024520256,0.428571429,0
9.69238E-3,55.094505736,0.595928012,0.023454158,0.428571429,0
9.75583E-3,56.070089152,0.597498274,0.02238806,0.428571429,0
1.02382E-2,57.093911109,0.60904847,0.021321962,0.428571429,0
1.04337E-2,58.137284574,0.613543251,0.020255864,0.428571429,0
1.09578E-2,59.233061555,0.625096015,0.019189765,0.428571429,0
1.16159E-2,60.394654681,0.638662581,0.018123667,0.5,0
1.16397E-2,61.558624134,0.639134068,0.017057569,0.5,0
1.19078E-2,62.749409132,0.644370491,0.015991471,0.571428571,0
1.2081E-2,63.957510208,0.647671899,0.014925373,0.571428571,0
1.41819E-2,65.375704194,0.683338258,0.013859275,0.571428571,0
1.44824E-2,66.823939404,0.687856526,0.012793177,0.642857143,0
1.47581E-2,68.29975146,0.691892108,0.011727079,0.642857143,0
1.88461E-2,70.184360429,0.741444891,0.010660981,0.642857143,0
1.96893E-2,72.153291,0.749746766,0.009594883,0.642857143,0
2.09313E-2,74.24642051,0.761047674,0.008528785,0.714285714,0
2.12091E-2,76.367331555,0.763437236,0.007462687,0.714285714,0
2.17811E-2,78.545440661,0.768209537,0.006396588,0.714285714,0
2.28087E-2,80.826310388,0.776316545,0.00533049,0.714285714,0
3.40099E-2,84.227304595,0.838056692,0.004264392,0.714285714,0
4.34879E-2,88.576095393,0.868717837,0.003198294,0.785714286,0
4.67047E-2,93.246563855,0.876644487,0.002132196,0.857142857,0
6.75344E-2,100,0.911317038,0.001066098,0.928571429,0
6.75344E-2,100,0.911317038,0,0.928571429,0
