X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.0,1.0,train,0.019689305706603513,72.15330061727875,0.7497467656803293
2.0,2.0,train,0.03400994206055536,84.22732389364488,0.8380566919347501
3.0,3.0,train,0.04348790798639301,88.57610698843543,0.8687178371654894
4.0,4.0,train,0.014181939852930566,65.3758962619443,0.6833382576160202
5.0,5.0,train,0.0675343614459124,99.9999874999367,0.9113170375778471
6.0,6.0,train,0.0011326447661861735,14.084129858522209,0.1470086384285857
7.0,7.0,train,0.046704684622603104,93.24654152857399,0.8766444873237438
8.0,8.0,train,0.00756752672601814,51.47340559443044,0.5352048560081126
9.0,9.0,train,0.006230928877286262,43.0767680176281,0.4866811389659438
10.0,10.0,train,0.005122384469956968,38.635965311367165,0.43802203537320455
11.0,11.0,train,0.007308052535756648,48.480073267984,0.5265159397773845
12.0,12.0,train,0.0016794720138297798,20.144986269228074,0.20353681608936164
13.0,13.0,train,0.011639694536073414,61.558356913679035,0.6391340675936357
14.0,14.0,train,0.010957769811111845,59.232998436723484,0.6250960145675055
