x,y,species logistic values
217.0,217.0,0.0031189083
218.0,218.0,0.09990478
219.0,219.0,9.101161E-7
220.0,220.0,0.003079606
221.0,221.0,5.991046E-5
222.0,222.0,0.53436524
223.0,223.0,0.07522376
224.0,224.0,0.15144868
225.0,225.0,1.2418898E-4
226.0,226.0,0.08700479
227.0,227.0,0.025219943
228.0,228.0,6.860159E-8
229.0,229.0,4.5291625E-8
230.0,230.0,3.851149E-6
231.0,231.0,0.0050333096
232.0,232.0,0.52981734
233.0,233.0,0.0013336012
234.0,234.0,0.026395924
235.0,235.0,0.04464944
236.0,236.0,0.03894362
237.0,237.0,0.015440806
238.0,238.0,7.6077925E-4
239.0,239.0,0.01855667
240.0,240.0,0.01227007
241.0,241.0,0.6918921
242.0,242.0,0.0040344438
243.0,243.0,0.064201206
244.0,244.0,3.0750388E-4
245.0,245.0,5.710985E-7
246.0,246.0,0.015891125
247.0,247.0,0.009854737
248.0,248.0,0.006162872
249.0,249.0,0.0077004745
250.0,250.0,0.04538452
251.0,251.0,3.2916712E-5
252.0,252.0,7.883938E-12
253.0,253.0,0.07075087
254.0,254.0,2.8304475E-11
255.0,255.0,0.09790203
256.0,256.0,0.16774943
257.0,257.0,0.0039422014
258.0,258.0,2.856532E-12
259.0,259.0,8.7297065E-7
260.0,260.0,0.2253998
261.0,261.0,0.02239683
262.0,262.0,0.053638127
263.0,263.0,0.018195804
264.0,264.0,0.14925146
265.0,265.0,0.03063118
266.0,266.0,4.2547076E-6
267.0,267.0,2.6256568E-5
268.0,268.0,0.31057146
269.0,269.0,0.028277515
270.0,270.0,0.0010926828
271.0,271.0,0.1811816
272.0,272.0,7.860508E-8
273.0,273.0,0.15920866
274.0,274.0,8.261112E-5
275.0,275.0,0.052890003
276.0,276.0,8.0469385E-5
277.0,277.0,1.1776825E-4
278.0,278.0,0.04843663
279.0,279.0,0.007709078
280.0,280.0,4.276997E-10
281.0,281.0,7.2004437E-4
282.0,282.0,3.0120567E-10
283.0,283.0,0.1783724
284.0,284.0,0.1586345
285.0,285.0,0.0074621965
286.0,286.0,0.14744459
287.0,287.0,0.23873344
288.0,288.0,0.002006866
289.0,289.0,0.0034358196
290.0,290.0,0.08333793
291.0,291.0,0.0070717027
292.0,292.0,0.2318008
293.0,293.0,0.3402605
294.0,294.0,0.0037590428
295.0,295.0,0.10145664
296.0,296.0,0.006308815
297.0,297.0,0.015127325
298.0,298.0,0.0091843465
299.0,299.0,0.102665
300.0,300.0,0.32205623
301.0,301.0,4.5411584E-6
302.0,302.0,5.147807E-6
303.0,303.0,0.018837435
304.0,304.0,0.20744945
305.0,305.0,0.2953432
306.0,306.0,0.20957372
307.0,307.0,0.0013817927
308.0,308.0,0.001666672
309.0,309.0,1.2631715E-8
310.0,310.0,2.2679791E-4
311.0,311.0,8.517516E-9
312.0,312.0,0.0026163207
313.0,313.0,0.0024273556
314.0,314.0,1.1696742E-4
315.0,315.0,2.2753119E-4
316.0,316.0,7.557306E-4
317.0,317.0,3.657351E-4
318.0,318.0,0.04729601
319.0,319.0,0.007845745
320.0,320.0,0.007002369
321.0,321.0,0.0014457081
322.0,322.0,0.02908204
323.0,323.0,0.046379175
324.0,324.0,3.6333944E-8
325.0,325.0,0.15547803
326.0,326.0,0.031896252
327.0,327.0,7.735165E-6
328.0,328.0,0.06541462
329.0,329.0,7.218977E-4
330.0,330.0,5.355701E-5
331.0,331.0,0.32479092
332.0,332.0,0.38252038
333.0,333.0,0.001363097
334.0,334.0,1.4774664E-4
335.0,335.0,7.312706E-5
336.0,336.0,1.0350366E-8
337.0,337.0,0.5103822
338.0,338.0,3.1105638E-10
339.0,339.0,1.21014585E-8
340.0,340.0,9.7261094E-5
341.0,341.0,0.010978725
342.0,342.0,0.02374695
343.0,343.0,0.004338407
344.0,344.0,6.0624554E-4
345.0,345.0,0.047186963
346.0,346.0,9.6675365E-5
347.0,347.0,0.062258072
348.0,348.0,0.06718111
349.0,349.0,0.0035298078
350.0,350.0,0.05731737
351.0,351.0,3.0443552E-9
352.0,352.0,5.0431455E-9
353.0,353.0,0.012358056
354.0,354.0,2.6037678E-4
355.0,355.0,2.1949994E-4
356.0,356.0,0.025179332
357.0,357.0,0.53028464
358.0,358.0,3.1345306E-4
359.0,359.0,2.0927225E-10
360.0,360.0,0.05766534
361.0,361.0,0.17527552
362.0,362.0,0.046610303
363.0,363.0,8.874621E-10
364.0,364.0,6.5470823E-10
365.0,365.0,0.016814211
366.0,366.0,0.010920586
367.0,367.0,0.013195433
368.0,368.0,0.019585228
369.0,369.0,0.062084716
370.0,370.0,0.001461044
371.0,371.0,8.2884355E-10
372.0,372.0,5.20854E-7
373.0,373.0,0.008205133
374.0,374.0,0.005941795
375.0,375.0,0.04206887
376.0,376.0,0.0021469612
377.0,377.0,0.005533613
378.0,378.0,0.013239508
379.0,379.0,3.5676247E-4
380.0,380.0,0.019005356
381.0,381.0,0.009492354
382.0,382.0,7.7994184E-7
383.0,383.0,0.0041607386
384.0,384.0,2.9285847E-8
385.0,385.0,0.1261918
386.0,386.0,0.07451177
387.0,387.0,0.1644544
388.0,388.0,0.021090468
389.0,389.0,0.0014604785
390.0,390.0,0.05985427
391.0,391.0,0.0053237476
392.0,392.0,0.067458495
393.0,393.0,0.011188543
394.0,394.0,0.052432913
395.0,395.0,8.260204E-5
396.0,396.0,0.056105327
397.0,397.0,0.043334264
398.0,398.0,0.008390819
399.0,399.0,0.028054008
400.0,400.0,0.007008596
401.0,401.0,0.0012750836
402.0,402.0,0.009168498
403.0,403.0,3.1220744E-4
404.0,404.0,0.047459226
405.0,405.0,0.028462203
406.0,406.0,0.0034937232
407.0,407.0,2.6978256E-8
408.0,408.0,0.0026295613
409.0,409.0,8.293365E-7
410.0,410.0,0.2549074
411.0,411.0,0.0031920846
412.0,412.0,0.043189783
413.0,413.0,0.017943185
414.0,414.0,0.0044953986
415.0,415.0,0.002263458
416.0,416.0,0.07293422
417.0,417.0,0.12511905
418.0,418.0,0.17269637
419.0,419.0,0.029111015
420.0,420.0,0.4543559
421.0,421.0,0.002636269
422.0,422.0,3.1051517E-4
423.0,423.0,0.1285046
424.0,424.0,0.3205694
425.0,425.0,0.09344878
426.0,426.0,0.2847834
427.0,427.0,0.1881168
428.0,428.0,0.03323987
429.0,429.0,0.031247888
430.0,430.0,0.5525468
431.0,431.0,0.014059334
432.0,432.0,3.556097E-7
433.0,433.0,0.0037488618
434.0,434.0,2.8127566E-4
435.0,435.0,0.0057488345
436.0,436.0,7.8615564E-4
437.0,437.0,1.660168E-4
438.0,438.0,0.015445453
439.0,439.0,1.3574831E-6
440.0,440.0,0.022206584
441.0,441.0,0.04126036
442.0,442.0,0.19959037
443.0,443.0,0.105071336
444.0,444.0,0.09319747
445.0,445.0,0.038263112
446.0,446.0,3.3654716E-5
447.0,447.0,0.2531744
448.0,448.0,0.12440011
449.0,449.0,0.054672595
450.0,450.0,0.0070885946
451.0,451.0,9.0189786E-8
452.0,452.0,0.115597315
453.0,453.0,4.3847208E-4
454.0,454.0,1.7341969E-6
455.0,455.0,3.0476469E-5
456.0,456.0,0.028341169
457.0,457.0,0.0040884325
458.0,458.0,0.07136854
459.0,459.0,0.13109854
460.0,460.0,0.106258154
461.0,461.0,9.0774696E-4
462.0,462.0,0.003016978
463.0,463.0,0.0981079
464.0,464.0,0.002176808
465.0,465.0,2.1180995E-5
466.0,466.0,0.06734557
467.0,467.0,2.3515388E-5
468.0,468.0,0.4558554
469.0,469.0,0.021139259
470.0,470.0,1.8581954E-6
471.0,471.0,0.023761885
472.0,472.0,0.0044392357
473.0,473.0,0.007260804
474.0,474.0,0.0012854676
475.0,475.0,0.001585453
476.0,476.0,1.0563864E-6
477.0,477.0,0.32173774
478.0,478.0,1.1498776E-6
479.0,479.0,0.0011670681
480.0,480.0,0.10859627
481.0,481.0,0.117985174
482.0,482.0,0.02648654
483.0,483.0,0.007910218
484.0,484.0,0.0077353995
485.0,485.0,9.827764E-4
486.0,486.0,0.07627564
487.0,487.0,0.3285522
488.0,488.0,0.013388805
489.0,489.0,0.6090485
490.0,490.0,0.021492321
491.0,491.0,0.072772436
492.0,492.0,2.4663765E-7
493.0,493.0,3.6798141E-7
494.0,494.0,0.058284815
495.0,495.0,0.005419262
496.0,496.0,0.17233483
497.0,497.0,0.12684637
498.0,498.0,0.035936695
499.0,499.0,0.0066609434
500.0,500.0,4.5521447E-4
501.0,501.0,0.0014985529
502.0,502.0,0.035593104
503.0,503.0,0.06566966
504.0,504.0,9.305179E-4
505.0,505.0,0.17596677
506.0,506.0,0.22620223
507.0,507.0,0.44938323
508.0,508.0,0.08083047
509.0,509.0,0.09053528
510.0,510.0,0.2617962
511.0,511.0,6.663295E-4
512.0,512.0,0.14101596
513.0,513.0,0.2112979
514.0,514.0,0.010937421
515.0,515.0,1.2489262E-5
516.0,516.0,1.7440502E-4
517.0,517.0,0.07843261
518.0,518.0,0.4385091
519.0,519.0,3.0246579E-6
520.0,520.0,0.05773516
521.0,521.0,1.6416016E-5
522.0,522.0,0.03525893
523.0,523.0,1.493894E-4
524.0,524.0,4.3345608E-5
525.0,525.0,0.0011708845
526.0,526.0,2.9374356E-4
527.0,527.0,0.07472949
528.0,528.0,0.010738692
529.0,529.0,0.0111054145
530.0,530.0,0.03399499
531.0,531.0,0.09391303
532.0,532.0,0.0061220312
533.0,533.0,0.028503057
534.0,534.0,0.10414083
535.0,535.0,0.51408875
536.0,536.0,0.03800593
537.0,537.0,0.065649286
538.0,538.0,0.05883889
539.0,539.0,0.0059127877
540.0,540.0,0.06737399
541.0,541.0,0.008611483
542.0,542.0,0.12054614
543.0,543.0,0.16998863
544.0,544.0,2.1977417E-6
545.0,545.0,0.038687695
546.0,546.0,0.094158016
547.0,547.0,0.007999967
548.0,548.0,0.36239386
549.0,549.0,0.028351972
550.0,550.0,0.32274765
551.0,551.0,0.26091763
552.0,552.0,0.0069609284
553.0,553.0,0.013446931
554.0,554.0,0.037718657
555.0,555.0,0.10957872
556.0,556.0,0.0071979277
557.0,557.0,0.031297825
558.0,558.0,0.015037967
559.0,559.0,0.11871912
560.0,560.0,0.2409857
561.0,561.0,0.09498648
562.0,562.0,0.0074009276
563.0,563.0,0.09647974
564.0,564.0,0.035849344
565.0,565.0,0.026900599
566.0,566.0,0.055963818
567.0,567.0,0.3269746
568.0,568.0,0.5132032
569.0,569.0,3.914464E-5
570.0,570.0,4.2824162E-4
