"","x","y"
"1",2112.11857126078,2407.9825998486
"2",2076.7802135682,2305.88797685157
"3",2118.18297905005,2352.6148782017
"4",2042.07700717085,2320.48868309922
"5",2144.7188210537,2416.60623361048
"6",2115.96081816461,2416.81766319577
"7",2071.33533831504,2331.246636764
"8",2117.48194909619,2443.87851883379
"9",2066.93698962114,2311.80757145026
"10",2072.25321374643,2260.01986000935
"11",2180.43095347926,2415.26078614219
"12",2222.69859377335,2403.05921865969
"13",2156.56791059985,2483.22919524496
"14",2117.35999526763,2325.40040652501
"15",2055.56003976725,2365.1167025695
"16",2128.68245166466,2327.01149741006
"17",2128.68245166466,2327.01149741006
"18",2033.68736176091,2450.57818424811
"19",2129.26106358268,2399.86441311253
"20",2158.99826998501,2370.34869127311
"21",2128.17384037341,2345.71299370646
"22",2144.7188210537,2416.60623361048
"23",2194.85024275268,2459.29872774772
"24",2194.85024275268,2459.29872774772
"25",2156.56791059985,2483.22919524496
"26",2076.7802135682,2305.88797685157
"27",2082.07843946155,2328.70753074923
"28",2092.97289787384,2368.48686921878
"29",2092.97289787384,2368.48686921878
"30",2146.2157339728,2380.69994687077
"31",2055.94770013248,2306.48579667442
"32",2105.45716998419,2446.03459676832
"33",2093.17852648495,2326.34647021225
"34",2193.50686530821,2451.11526263406
"35",2117.48194909619,2443.87851883379
"36",2158.99826998501,2370.34869127311
"37",2061.0422769139,2388.28196916305
"38",2098.280595609,2322.37542380094
"39",2180.43095347926,2415.26078614219
"40",2181.93064541414,2450.58806580345
"41",2117.48194909619,2443.87851883379
"42",2113.33766203274,2342.55209516005
"43",2135.92285480091,2350.10977584385
"44",2144.7188210537,2416.60623361048
"45",2196.54472866143,2438.24008537634
"46",2180.61834470917,2387.94982127792
"47",2126.05055657637,2423.88376398647
"48",2055.94770013248,2306.48579667442
"49",2144.7188210537,2416.60623361048
"50",2196.54472866143,2438.24008537634
"51",2196.54472866143,2438.24008537634
"52",2092.90349076419,2313.59236258321
"53",2092.90349076419,2313.59236258321
"54",2120.65175811474,2364.38415540457
"55",2149.34329525872,2402.00272099654
"56",2081.3233544458,2286.41239557377
"57",2129.04678706955,2418.62309514804
"58",2287.25145177643,2449.88991188116
"59",2076.7802135682,2305.88797685157
"60",2064.86068132255,2462.48987073061
"61",2095.19444083955,2294.89904432126
"62",2135.92285480091,2350.10977584385
"63",2209.89021591439,2463.62696556752
"64",2205.29815816172,2434.0045601708
"65",2217.40888937546,2627.65591607947
"66",2099.24218660593,2349.61576397873
"67",2197.34308224594,2479.68770046516
"68",2113.33766203274,2342.55209516005
"69",2124.9850041582,2339.20614009383
"70",2059.96609994524,2440.13523404259
"71",2072.20823935615,2240.84551582584
"72",2287.25145177643,2449.88991188116
"73",2204.21767019691,2419.83045453824
"74",2082.77551729092,2375.30166689147
"75",2128.17384037341,2345.71299370646
"76",2287.25145177643,2449.88991188116
"77",2028.37558869673,2412.88186694337
"78",2244.43826270863,2422.71685722923
"79",2129.04678706955,2418.62309514804
"80",2126.05055657637,2423.88376398647
"81",2094.31621072075,2397.02914353499
"82",2076.31612311003,2268.55508877328
"83",2205.29815816172,2434.0045601708
"84",2100.10533087046,2360.75751349135
"85",2095.19444083955,2294.89904432126
"86",2256.13209139224,2436.29272488247
"87",2084.27126222523,2423.81726967771
"88",2103.85539614238,2392.43553063947
"89",2095.19444083955,2294.89904432126
"90",2114.59134141519,2337.08529820095
"91",2076.7802135682,2305.88797685157
"92",2181.93064541414,2450.58806580345
"93",2204.04862859442,2591.80223072545
"94",2222.69859377335,2403.05921865969
"95",2217.72002344682,2418.67196864245
"96",2209.86753551513,2451.81985099692
"97",2140.0144867521,2490.12739705036
"98",2257.00434250967,2430.75900606854
"99",2124.9850041582,2339.20614009383
"100",2181.93064541414,2450.58806580345
"101",2117.35999526763,2325.40040652501
"102",2209.86753551513,2451.81985099692
"103",2205.29815816172,2434.0045601708
"104",2120.65175811474,2364.38415540457
"105",2081.3233544458,2286.41239557377
"106",2213.29836294006,2408.16499898775
"107",2166.46630945348,2442.02715520497
"108",2166.46630945348,2442.02715520497
"109",2166.46630945348,2442.02715520497
